Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
1,-22.0,12,0.0,0.0,1.0,0,1,Collision,8
2,-18.0,9,0.0,0.0,0.997,0,1,Collision,8
3,-16.0,7,0.0,0.0,0.994009,0,1,Collision,8
4,-16.0,11,0.0,0.0,0.991026973,0,1,Collision,8
5,-18.0,4,0.0,0.0,0.988053892081,0,1,Collision,8
6,-20.0,3,0.0,0.0,0.985089730404757,0,1,Collision,8
7,-16.0,19,43.47532653808594,0.0,0.9821344612135428,0,1,Collision,8
8,-31.0,45,22.980695724487305,-1.0610766410827637,0.9791880578299021,0,1,Collision,8
9,-26.0,23,20.787731170654297,-0.8458346128463745,0.9762504936564125,0,1,Collision,8
10,-16.0,7,30.33888816833496,-0.8458346128463745,0.9733217421754432,0,1,Collision,8
11,-28.0,21,16.22406768798828,-0.8458346128463745,0.9704017769489168,0,1,Collision,8
12,-20.0,12,29.436016082763672,-1.6919441223144531,0.9674905716180701,0,1,Collision,8
13,-25.0,13,16.43948745727539,-1.6919441223144531,0.9645880999032158,0,1,Collision,8
14,-23.0,18,20.555910110473633,-1.907468318939209,0.9616943356035061,0,1,Collision,8
15,-18.0,7,22.277151107788086,-1.907468318939209,0.9588092525966956,0,1,Collision,8
16,-21.0,16,13.06261157989502,-1.907468318939209,0.9559328248389055,0,1,Collision,8
17,-15.0,16,17.988880157470703,-1.907468318939209,0.9530650263643888,0,1,Collision,8
18,-28.0,28,7.911902904510498,-1.907468318939209,0.9502058312852957,0,1,Collision,8
19,-17.0,7,16.806396484375,-0.3942006528377533,0.9473552137914398,0,1,Collision,8
20,-17.0,7,9.299575805664062,-0.3942006528377533,0.9445131481500655,0,1,Collision,8
21,-20.0,3,18.350496292114258,-0.3942006528377533,0.9416796087056153,0,1,Collision,8
22,-18.0,9,9.921110153198242,-0.3942006528377533,0.9388545698794984,0,1,Collision,8
23,-20.0,11,13.46299934387207,-0.3942006528377533,0.93603800616986,0,1,Collision,8
24,-15.0,12,11.6248197555542,-0.3942006528377533,0.9332298921513504,0,1,Collision,8
25,-15.0,28,18.019681930541992,-2.549802780151367,0.9304302024748964,0,1,Collision,8
26,-7.0,23,15.328665733337402,-2.549802780151367,0.9276389118674717,0,1,Collision,8
27,-30.0,26,13.160797119140625,-5.060158729553223,0.9248559951318693,0,1,Collision,8
28,-23.0,25,8.189199447631836,-5.060158729553223,0.9220814271464737,0,1,Collision,8
29,-14.0,6,9.055707931518555,-0.2981082797050476,0.9193151828650342,0,1,Collision,8
30,-21.0,5,14.474884986877441,-0.2981082797050476,0.9165572373164391,0,1,Collision,8
31,-18.0,20,16.449480056762695,-7.26259708404541,0.9138075656044898,0,1,Collision,8
32,-19.0,11,12.069068908691406,-2.378720760345459,0.9110661429076764,0,1,Collision,8
33,-22.0,13,10.829809188842773,-5.441570281982422,0.9083329444789534,0,1,Collision,8
34,-18.0,16,11.255901336669922,-1.9756522178649902,0.9056079456455165,0,1,Collision,8
35,-16.0,12,12.125351905822754,-3.547689914703369,0.90289112180858,0,1,Collision,8
36,-16.0,10,9.621150016784668,0.2102999985218048,0.9001824484431542,0,1,Collision,8
37,-15.0,12,8.66308307647705,0.5865836143493652,0.8974819010978248,0,1,Collision,8
38,-20.0,31,11.056821823120117,0.825990617275238,0.8947894553945313,0,1,Collision,8
39,-20.0,16,10.595046997070312,-2.1725337505340576,0.8921050870283477,0,1,Collision,8
40,-20.0,3,12.294729232788086,-2.1725337505340576,0.8894287717672626,0,1,Collision,8
41,-20.0,9,12.826177597045898,-2.1725337505340576,0.8867604854519608,0,1,Collision,8
42,-20.0,6,9.64474868774414,-2.1725337505340576,0.884100203995605,0,1,Collision,8
43,-17.0,8,15.694439888000488,1.2486521005630493,0.8814479033836181,0,1,Collision,8
44,-18.0,11,9.854313850402832,2.0114893913269043,0.8788035596734672,0,1,Collision,8
45,-24.0,15,14.46774673461914,-5.973994731903076,0.8761671489944468,0,1,Collision,8
46,-16.0,22,9.371214866638184,-3.2614288330078125,0.8735386475474635,0,1,Collision,8
47,-25.0,34,12.54192066192627,-4.156646251678467,0.8709180316048211,0,1,Collision,8
48,-17.0,13,10.238775253295898,-0.49534115195274353,0.8683052775100066,0,1,Collision,8
49,-16.0,3,9.985969543457031,-0.49534115195274353,0.8657003616774767,0,1,Collision,8
50,-17.0,8,6.668020725250244,-4.1768693923950195,0.8631032605924442,0,1,Collision,8
51,-14.0,14,13.83499526977539,0.6299225687980652,0.860513950810667,0,1,Collision,8
52,-21.0,12,4.919269561767578,1.118415117263794,0.857932408958235,0,1,Collision,8
53,-15.0,19,11.016700744628906,-4.24847936630249,0.8553586117313603,0,1,Collision,8
54,-17.0,29,5.954328536987305,-5.472531318664551,0.8527925358961662,0,1,Collision,8
55,-20.0,3,5.234365463256836,-5.472531318664551,0.8502341582884777,0,1,Collision,8
56,-16.0,16,7.774476051330566,-3.6521568298339844,0.8476834558136123,0,1,Collision,8
57,-18.0,4,9.915721893310547,1.3505743741989136,0.8451404054461714,0,1,Collision,8
58,-23.0,25,6.955231666564941,2.796248197555542,0.8426049842298329,0,1,Collision,8
59,-16.0,14,4.513876438140869,1.9467085599899292,0.8400771692771434,0,1,Collision,8
60,-19.0,10,10.947969436645508,2.049210786819458,0.837556937769312,0,1,Collision,8
61,-15.0,10,8.453125,2.885450839996338,0.835044266956004,0,1,Collision,8
62,-17.0,18,8.507410049438477,-0.15519075095653534,0.8325391341551359,0,1,Collision,8
63,-17.0,35,8.658452987670898,0.45932233333587646,0.8300415167526705,0,1,Collision,8
64,-20.0,7,7.880557060241699,-2.790924072265625,0.8275513922024125,0,1,Collision,8
65,-14.0,26,9.070398330688477,2.268317461013794,0.8250687380258053,0,1,Collision,8
66,-18.0,30,7.205749988555908,-7.30311393737793,0.8225935318117279,0,1,Collision,8
67,-36.0,30,5.695949554443359,2.0731425285339355,0.8201257512162927,0,1,Collision,8
68,-20.0,11,8.26843547821045,2.1162641048431396,0.8176653739626438,0,1,Collision,8
69,-23.0,10,11.9329833984375,2.1162641048431396,0.8152123778407558,0,1,Collision,8
70,-29.0,19,4.822479724884033,2.5404343605041504,0.8127667407072335,0,1,Collision,8
71,-28.0,37,2.661529541015625,-7.412782669067383,0.8103284404851119,0,1,Collision,8
72,-18.0,17,5.596681594848633,2.9320287704467773,0.8078974551636565,0,1,Collision,8
73,-20.0,26,4.908844947814941,-3.178269863128662,0.8054737627981655,0,1,Collision,8
74,-29.0,39,4.203341960906982,0.15226012468338013,0.803057341509771,0,1,Collision,8
75,-16.0,3,3.6303365230560303,0.15226012468338013,0.8006481694852418,0,1,Collision,8
76,-36.0,51,5.783660888671875,0.7341405749320984,0.798246224976786,0,1,Collision,8
77,-22.0,13,3.4016034603118896,3.497948169708252,0.7958514863018556,0,1,Collision,8
78,-21.0,11,5.856598854064941,3.497948169708252,0.79346393184295,0,1,Collision,8
79,-22.0,9,13.066267013549805,2.04347562789917,0.7910835400474212,0,1,Collision,8
80,-15.0,25,1.6476417779922485,-0.5602323412895203,0.7887102894272789,0,1,Collision,8
81,-25.0,33,7.9804911613464355,-4.727029800415039,0.7863441585589971,0,1,Collision,8
82,-22.0,10,3.3039917945861816,2.6836557388305664,0.78398512608332,0,1,Collision,8
83,-21.0,11,3.8578054904937744,2.8637309074401855,0.7816331707050701,0,1,Collision,8
84,-22.0,8,8.754358291625977,2.8637309074401855,0.7792882711929549,0,1,Collision,8
85,-13.0,15,13.883157730102539,2.6910977363586426,0.776950406379376,0,1,Collision,8
86,-21.0,35,6.397882461547852,4.586949348449707,0.7746195551602378,0,1,Collision,8
87,-16.0,5,2.494438648223877,4.586949348449707,0.7722956964947572,0,1,Collision,8
88,-13.0,14,5.449807167053223,-9.633827209472656,0.7699788094052729,0,1,Collision,8
89,-25.0,38,12.546390533447266,1.315865159034729,0.767668872977057,0,1,Collision,8
90,-14.0,12,14.714696884155273,3.8464159965515137,0.7653658663581259,0,1,Collision,8
91,-33.0,53,2.5713984966278076,-3.654595375061035,0.7630697687590515,0,1,Collision,8
92,-21.0,27,10.239022254943848,-3.8294239044189453,0.7607805594527743,0,1,Collision,8
93,-20.0,19,5.151744842529297,-1.4237744808197021,0.7584982177744161,0,1,Collision,8
94,-14.0,10,5.908210754394531,1.9397567510604858,0.7562227231210928,0,1,Collision,8
95,-19.0,9,6.073732852935791,2.8680779933929443,0.7539540549517295,0,1,Collision,8
96,-22.0,13,5.245217800140381,5.065277099609375,0.7516921927868743,0,1,Collision,8
97,-19.0,23,14.85213565826416,3.823800802230835,0.7494371162085136,0,1,Collision,8
98,-19.0,11,2.179504632949829,3.823800802230835,0.747188804859888,0,1,Collision,8
99,-18.0,20,1.3431158065795898,-5.332639217376709,0.7449472384453084,0,1,Collision,8
100,-20.0,31,7.253334999084473,3.2690582275390625,0.7427123967299725,0,1,Collision,8
101,-11.0,17,8.940653800964355,-2.9376044273376465,0.7404842595397826,0,1,Collision,8
102,-14.0,16,8.616965293884277,5.740718841552734,0.7382628067611632,0,1,Collision,8
103,-24.0,60,4.85596227645874,-2.4978723526000977,0.7360480183408797,0,1,Collision,8
104,-19.0,12,6.1423234939575195,5.690465450286865,0.7338398742858571,0,1,Collision,8
105,-16.0,12,15.034162521362305,-1.4843156337738037,0.7316383546629995,0,1,Collision,8
106,-16.0,29,10.987820625305176,2.8662469387054443,0.7294434395990105,0,1,Collision,8
107,-16.0,3,7.655879020690918,2.8662469387054443,0.7272551092802134,0,1,Collision,8
108,-19.0,56,3.109856605529785,5.450255870819092,0.7250733439523728,0,1,Collision,8
109,-17.0,8,15.519698143005371,6.40585994720459,0.7228981239205157,0,1,Collision,8
110,-6.0,40,2.77353572845459,4.152299880981445,0.7207294295487541,0,1,Collision,8
111,-18.0,4,4.629077434539795,4.152299880981445,0.7185672412601078,0,1,Collision,8
112,-14.0,10,13.27359676361084,-4.91319465637207,0.7164115395363275,0,1,Collision,8
113,-13.0,12,6.380939483642578,6.113036155700684,0.7142623049177186,0,1,Collision,8
114,-17.0,7,5.120209693908691,1.1112703084945679,0.7121195180029655,0,1,Collision,8
115,-16.0,3,8.45771598815918,5.667600154876709,0.7099831594489566,0,1,Collision,8
116,-18.0,25,2.3849568367004395,-4.383529186248779,0.7078532099706097,0,1,Collision,8
117,-7.0,41,4.502626419067383,0.39611801505088806,0.7057296503406979,0,1,Collision,8
118,-24.0,21,15.722898483276367,-2.1985573768615723,0.7036124613896758,0,1,Collision,8
119,-17.0,23,8.057930946350098,4.716716766357422,0.7015016240055068,0,1,Collision,8
120,-37.0,35,3.199655055999756,-3.454853057861328,0.6993971191334902,0,1,Collision,8
121,-19.0,21,4.935615062713623,0.1566372811794281,0.6972989277760897,0,1,Collision,8
122,-29.0,35,8.244365692138672,1.178726315498352,0.6952070309927615,0,1,Collision,8
123,-21.0,13,6.399875164031982,5.364230632781982,0.6931214098997832,0,1,Collision,8
124,-22.0,8,4.999643325805664,5.8372015953063965,0.6910420456700839,0,1,Collision,8
125,-15.0,12,4.3453168869018555,5.8372015953063965,0.6889689195330736,0,1,Collision,8
126,-24.0,19,7.636960506439209,-4.200448513031006,0.6869020127744744,0,1,Collision,8
127,-15.0,12,2.5879335403442383,7.406829357147217,0.684841306736151,0,1,Collision,8
128,-18.0,15,5.678954601287842,4.485454559326172,0.6827867828159425,0,1,Collision,8
129,-22.0,13,5.547152996063232,7.8875579833984375,0.6807384224674947,0,1,Collision,8
130,-17.0,23,5.0667266845703125,2.591994285583496,0.6786962072000923,0,1,Collision,8
131,-20.0,27,8.565031051635742,6.716205596923828,0.676660118578492,0,1,Collision,8
132,-16.0,3,7.408477783203125,7.395008087158203,0.6746301382227565,0,1,Collision,8
133,-21.0,50,5.918244361877441,-2.725531578063965,0.6726062478080883,0,1,Collision,8
134,-29.0,49,5.082135200500488,-0.3942912518978119,0.6705884290646641,0,1,Collision,8
135,-13.0,11,10.286691665649414,8.321186065673828,0.66857666377747,0,1,Collision,8
136,-27.0,16,7.683076858520508,7.6792449951171875,0.6665709337861376,0,1,Collision,8
137,-18.0,4,4.088993072509766,7.326866149902344,0.6645712209847792,0,1,Collision,8
138,-16.0,3,1.652187705039978,7.258353233337402,0.6625775073218249,0,1,Collision,8
139,-18.0,16,3.512845277786255,-0.890089213848114,0.6605897747998594,0,1,Collision,8
140,-16.0,26,2.2957119941711426,2.69852614402771,0.6586080054754598,0,1,Collision,8
141,-2.0,31,4.50099515914917,6.059654235839844,0.6566321814590335,0,1,Collision,8
142,-17.0,6,3.4985861778259277,8.186610221862793,0.6546622849146564,0,1,Collision,8
143,-15.0,12,5.874303817749023,8.010266304016113,0.6526982980599124,0,1,Collision,8
144,-12.0,18,6.659999847412109,3.7788166999816895,0.6507402031657327,0,1,Collision,8
145,-28.0,19,7.667723655700684,8.80007553100586,0.6487879825562355,0,1,Collision,8
146,-18.0,22,6.23983907699585,-6.080208778381348,0.6468416186085668,0,1,Collision,8
147,-18.0,23,2.295832395553589,-4.34414529800415,0.6449010937527411,0,1,Collision,8
148,-18.0,13,12.877614974975586,1.6923720836639404,0.6429663904714829,0,1,Collision,8
149,-18.0,22,10.162053108215332,5.60803747177124,0.6410374913000684,0,1,Collision,8
150,-18.0,16,5.164853096008301,8.475016593933105,0.6391143788261682,0,1,Collision,8
151,-12.0,11,12.81640625,8.469449996948242,0.6371970356896897,0,1,Collision,8
152,-9.0,33,4.2523956298828125,8.325221061706543,0.6352854445826206,0,1,Collision,8
153,-14.0,13,11.601685523986816,7.618561744689941,0.6333795882488727,0,1,Collision,8
154,-17.0,28,27.87712860107422,-6.248703956604004,0.6314794494841262,0,1,Collision,8
155,-30.0,38,12.971269607543945,-6.3732452392578125,0.6295850111356738,0,1,Collision,8
156,-13.0,28,6.092887878417969,6.780770778656006,0.6276962561022668,0,1,Collision,8
157,-22.0,30,2.0021848678588867,-2.759145736694336,0.62581316733396,0,1,Collision,8
158,-27.0,23,8.760835647583008,-5.201059341430664,0.623935727831958,0,1,Collision,8
159,-22.0,36,10.13133716583252,6.993764877319336,0.6220639206484622,0,1,Collision,8
160,-16.0,9,7.245765686035156,-3.938405990600586,0.6201977288865168,0,1,Collision,8
161,-20.0,3,23.05978775024414,-3.938405990600586,0.6183371356998573,0,1,Collision,8
162,-14.0,12,15.800312042236328,7.89178991317749,0.6164821242927577,0,1,Collision,8
163,-21.0,37,13.633684158325195,-2.6693129539489746,0.6146326779198794,0,1,Collision,8
164,-35.0,63,34.11895751953125,-2.685307264328003,0.6127887798861198,0,1,Collision,8
165,-25.0,42,28.458770751953125,4.519608020782471,0.6109504135464614,0,1,Collision,8
166,-22.0,20,11.629158020019531,7.331206321716309,0.609117562305822,0,1,Collision,8
167,-16.0,10,2.7366538047790527,10.607109069824219,0.6072902096189046,0,1,Collision,8
168,-18.0,4,4.250100135803223,10.607109069824219,0.6054683389900478,0,1,Collision,8
169,-27.0,18,26.452392578125,-4.54306697845459,0.6036519339730777,0,1,Collision,8
170,-25.0,27,17.009929656982422,7.811089992523193,0.6018409781711584,0,1,Collision,8
171,-25.0,48,12.65170669555664,5.377316951751709,0.6000354552366449,0,1,Collision,8
172,-13.0,32,11.782434463500977,5.692464351654053,0.598235348870935,0,1,Collision,8
173,-6.0,17,1.887218713760376,-0.8489131927490234,0.5964406428243222,0,1,Collision,8
174,-14.0,10,5.970621109008789,8.997852325439453,0.5946513208958493,0,1,Collision,8
175,-19.0,16,4.470415115356445,1.3485040664672852,0.5928673669331617,0,1,Collision,8
176,-14.0,29,11.685661315917969,3.1278176307678223,0.5910887648323622,0,1,Collision,8
177,-12.0,35,4.856916427612305,6.198724746704102,0.5893154985378651,0,1,Collision,8
178,-20.0,18,9.423218727111816,10.803756713867188,0.5875475520422515,0,1,Collision,8
179,-10.0,39,4.879452705383301,-3.0561680793762207,0.5857849093861247,0,1,Collision,8
180,-13.0,19,9.603975296020508,9.125932693481445,0.5840275546579663,0,1,Collision,8
181,-17.0,41,5.839677810668945,2.226618528366089,0.5822754719939924,0,1,Collision,8
182,-12.0,27,15.014826774597168,6.1838812828063965,0.5805286455780104,0,1,Collision,8
183,-20.0,23,14.767422676086426,-3.644624710083008,0.5787870596412764,0,1,Collision,8
184,-20.0,39,13.76878547668457,4.490085601806641,0.5770506984623526,0,1,Collision,8
185,-18.0,20,3.604574203491211,-2.033339500427246,0.5753195463669655,0,1,Collision,8
186,-18.0,22,11.069978713989258,6.784947395324707,0.5735935877278646,0,1,Collision,8
187,-12.0,10,6.636762619018555,-4.9050397872924805,0.571872806964681,0,1,Collision,8
188,-13.0,51,12.846177101135254,5.151127815246582,0.5701571885437869,0,1,Collision,8
189,-24.0,33,12.554901123046875,-3.8955078125,0.5684467169781556,0,1,Collision,8
190,-17.0,66,8.311365127563477,4.333512783050537,0.5667413768272211,0,1,Collision,8
191,-26.0,34,5.817960262298584,-4.004856109619141,0.5650411526967395,0,1,Collision,8
192,-10.0,16,21.339534759521484,8.249135971069336,0.5633460292386493,0,1,Collision,8
193,-34.0,92,5.913052558898926,-3.2422866821289062,0.5616559911509333,0,1,Collision,8
194,-10.0,51,7.883016109466553,-3.373825788497925,0.5599710231774805,0,1,Collision,8
195,-13.0,38,7.353340148925781,3.408798933029175,0.5582911101079481,0,1,Collision,8
196,-16.0,25,3.8051486015319824,-3.2115485668182373,0.5566162367776242,0,1,Collision,8
197,-24.0,21,9.843080520629883,-4.1635589599609375,0.5549463880672914,0,1,Collision,8
198,-15.0,27,4.786320209503174,-4.199037551879883,0.5532815489030894,0,1,Collision,8
199,-12.0,15,20.42740249633789,11.875387191772461,0.5516217042563801,0,1,Collision,8
200,-20.0,23,11.860846519470215,-4.6796722412109375,0.549966839143611,0,1,Collision,8
201,-12.0,12,3.3718271255493164,11.12585735321045,0.5483169386261801,0,1,Collision,8
202,-16.0,39,17.125843048095703,6.443389415740967,0.5466719878103016,0,1,Collision,8
203,-14.0,37,3.840609550476074,11.901080131530762,0.5450319718468707,0,1,Collision,8
204,-15.0,39,18.569915771484375,1.4259666204452515,0.5433968759313301,0,1,Collision,8
205,-17.0,24,8.801656723022461,1.8027242422103882,0.5417666853035361,0,1,Collision,8
206,-13.0,22,10.853761672973633,-0.7904415130615234,0.5401413852476254,0,1,Collision,8
207,-4.0,47,44.414825439453125,9.9498929977417,0.5385209610918825,0,1,Collision,8
208,-18.0,13,8.535771369934082,8.939842224121094,0.5369053982086068,0,1,Collision,8
209,-23.0,35,10.16734790802002,-1.3234245777130127,0.535294682013981,0,1,Collision,8
210,-12.0,70,3.639084815979004,-0.9107984304428101,0.5336887979679391,0,1,Collision,8
