Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
52,-18.0,15,10.643415451049805,-8.163439750671387,0.857932408958235,0,1,Collision,8
53,-24.0,23,8.049671173095703,-2.619720220565796,0.8553586117313603,0,1,Collision,8
54,-17.0,11,6.325730323791504,1.2433377504348755,0.8527925358961662,0,1,Collision,8
55,-18.0,5,15.200799942016602,1.593195915222168,0.8502341582884777,0,1,Collision,8
56,-22.0,11,7.926051139831543,0.07804654538631439,0.8476834558136123,0,1,Collision,8
57,-17.0,10,6.138442039489746,2.136406183242798,0.8451404054461714,0,1,Collision,8
58,-20.0,8,5.75074577331543,1.5896466970443726,0.8426049842298329,0,1,Collision,8
59,-20.0,9,7.765559196472168,-4.956780433654785,0.8400771692771434,0,1,Collision,8
60,-14.0,6,6.063281059265137,-6.265382289886475,0.837556937769312,0,1,Collision,8
61,-17.0,17,11.294208526611328,-8.380159378051758,0.835044266956004,0,1,Collision,8
62,-21.0,6,4.842568397521973,2.3094499111175537,0.8325391341551359,0,1,Collision,8
63,-16.0,8,43.478206634521484,2.58902645111084,0.8300415167526705,0,1,Collision,8
64,-17.0,12,10.152015686035156,2.182907819747925,0.8275513922024125,0,1,Collision,8
65,-13.0,18,7.691700458526611,2.992734909057617,0.8250687380258053,0,1,Collision,8
66,-11.0,10,7.263178825378418,-0.6580886244773865,0.8225935318117279,0,1,Collision,8
67,-20.0,14,6.595685005187988,3.4550695419311523,0.8201257512162927,0,1,Collision,8
68,-18.0,5,6.4182915687561035,3.4550695419311523,0.8176653739626438,0,1,Collision,8
69,-21.0,20,12.106912612915039,2.850811719894409,0.8152123778407558,0,1,Collision,8
70,-13.0,32,9.664546012878418,-8.037601470947266,0.8127667407072335,0,1,Collision,8
71,-16.0,7,6.461825370788574,-8.037601470947266,0.8103284404851119,0,1,Collision,8
72,-30.0,29,7.419407844543457,-0.7908000946044922,0.8078974551636565,0,1,Collision,8
73,-7.0,17,13.828044891357422,-7.537663459777832,0.8054737627981655,0,1,Collision,8
74,-18.0,5,4.153508186340332,3.5700254440307617,0.803057341509771,0,1,Collision,8
75,-17.0,8,7.2369065284729,2.392163038253784,0.8006481694852418,0,1,Collision,8
76,-22.0,35,8.585686683654785,0.6870757937431335,0.798246224976786,0,1,Collision,8
77,-23.0,14,9.619340896606445,0.6059588193893433,0.7958514863018556,0,1,Collision,8
78,58.0,45,41.21904373168945,3.7703921794891357,0.79346393184295,1,0,Success,8
79,-18.0,5,76.91453552246094,3.1810576915740967,0.7910835400474212,0,1,Collision,8
80,-25.0,14,5.7656331062316895,-5.86391544342041,0.7887102894272789,0,1,Collision,8
81,-20.0,12,7.171319007873535,2.12033748626709,0.7863441585589971,0,1,Collision,8
82,-13.0,11,40.65840148925781,2.9635322093963623,0.78398512608332,0,1,Collision,8
83,-22.0,16,37.844364166259766,-2.6855130195617676,0.7816331707050701,0,1,Collision,8
84,-21.0,4,5.050075531005859,-2.6855130195617676,0.7792882711929549,0,1,Collision,8
85,-24.0,26,8.568320274353027,-4.731593132019043,0.776950406379376,0,1,Collision,8
86,-15.0,10,3.837315559387207,-0.6389399766921997,0.7746195551602378,0,1,Collision,8
87,-23.0,18,7.562073230743408,-4.103132724761963,0.7722956964947572,0,1,Collision,8
88,-16.0,11,5.793144226074219,-3.0162463188171387,0.7699788094052729,0,1,Collision,8
89,-12.0,32,7.777399063110352,-2.9199471473693848,0.767668872977057,0,1,Collision,8
90,-18.0,11,10.412156105041504,4.381123065948486,0.7653658663581259,0,1,Collision,8
91,-28.0,22,12.486543655395508,4.537959098815918,0.7630697687590515,0,1,Collision,8
92,-20.0,15,11.474183082580566,-1.7917866706848145,0.7607805594527743,0,1,Collision,8
93,-16.0,15,11.632190704345703,-2.836045980453491,0.7584982177744161,0,1,Collision,8
94,-19.0,9,5.641425132751465,5.657906532287598,0.7562227231210928,0,1,Collision,8
95,-16.0,14,10.034440994262695,-2.7148914337158203,0.7539540549517295,0,1,Collision,8
96,-29.0,32,6.766921520233154,3.6409573554992676,0.7516921927868743,0,1,Collision,8
97,-16.0,8,7.831997871398926,-6.588495254516602,0.7494371162085136,0,1,Collision,8
98,-18.0,15,13.018791198730469,3.344176769256592,0.747188804859888,0,1,Collision,8
99,-10.0,42,7.043350696563721,4.487077713012695,0.7449472384453084,0,1,Collision,8
100,-19.0,17,43.131771087646484,4.068840980529785,0.7427123967299725,0,1,Collision,8
101,-13.0,10,15.887369155883789,6.186009407043457,0.7404842595397826,0,1,Collision,8
102,-23.0,6,9.495500564575195,6.186009407043457,0.7382628067611632,0,1,Collision,8
103,-24.0,30,9.956369400024414,5.099698066711426,0.7360480183408797,0,1,Collision,8
104,-19.0,6,9.657676696777344,5.099698066711426,0.7338398742858571,0,1,Collision,8
105,-18.0,10,8.239134788513184,5.252557754516602,0.7316383546629995,0,1,Collision,8
106,-18.0,12,12.55250358581543,0.31964120268821716,0.7294434395990105,0,1,Collision,8
107,-26.0,38,7.2119951248168945,-7.2209272384643555,0.7272551092802134,0,1,Collision,8
108,-15.0,15,6.523868560791016,-3.6270713806152344,0.7250733439523728,0,1,Collision,8
109,-13.0,32,4.776739120483398,6.302733421325684,0.7228981239205157,0,1,Collision,8
110,-23.0,14,8.192123413085938,0.37933802604675293,0.7207294295487541,0,1,Collision,8
111,-17.0,17,12.716638565063477,5.246409893035889,0.7185672412601078,0,1,Collision,8
112,-18.0,13,7.368503570556641,-1.231472373008728,0.7164115395363275,0,1,Collision,8
113,-28.0,25,14.592227935791016,-1.8946493864059448,0.7142623049177186,0,1,Collision,8
114,-20.0,9,16.235694885253906,-1.8946493864059448,0.7121195180029655,0,1,Collision,8
115,-22.0,17,8.936200141906738,7.542655944824219,0.7099831594489566,0,1,Collision,8
116,-41.0,101,5.395186424255371,-4.180673122406006,0.7078532099706097,0,1,Collision,8
117,-20.0,3,35.07891845703125,-4.180673122406006,0.7057296503406979,0,1,Collision,8
118,-17.0,8,5.798627853393555,5.750766277313232,0.7036124613896758,0,1,Collision,8
119,-20.0,3,8.802119255065918,5.750766277313232,0.7015016240055068,0,1,Collision,8
120,-20.0,3,15.267125129699707,5.750766277313232,0.6993971191334902,0,1,Collision,8
121,-18.0,21,6.077214241027832,7.636580467224121,0.6972989277760897,0,1,Collision,8
122,-19.0,7,9.727776527404785,7.636580467224121,0.6952070309927615,0,1,Collision,8
123,-20.0,15,3.688084602355957,-0.6554732322692871,0.6931214098997832,0,1,Collision,8
124,-20.0,13,11.291082382202148,7.169085502624512,0.6910420456700839,0,1,Collision,8
125,-17.0,11,4.854341983795166,7.323888301849365,0.6889689195330736,0,1,Collision,8
126,-11.0,12,11.763954162597656,6.41384220123291,0.6869020127744744,0,1,Collision,8
127,-21.0,23,4.175984859466553,6.431176662445068,0.684841306736151,0,1,Collision,8
128,-18.0,7,11.280759811401367,6.529970169067383,0.6827867828159425,0,1,Collision,8
