Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
72,-17.0,20,3.712031841278076,4.437791347503662,0.8078974551636565,0,1,Collision,1
73,-16.0,25,36.332733154296875,1.054338812828064,0.8054737627981655,0,1,Collision,1
74,-14.0,46,9.845550537109375,-7.0430803298950195,0.803057341509771,0,1,Collision,1
75,-19.0,12,2.94911527633667,7.84732723236084,0.8006481694852418,0,1,Collision,1
76,-12.0,16,4.533393859863281,-1.1642874479293823,0.798246224976786,0,1,Collision,1
77,-18.0,11,3.4769952297210693,1.7393624782562256,0.7958514863018556,0,1,Collision,1
78,-20.0,15,7.0207061767578125,7.228297233581543,0.79346393184295,0,1,Collision,1
79,-16.0,16,6.588117599487305,-6.306979656219482,0.7910835400474212,0,1,Collision,1
80,53.0,51,11.097505569458008,7.99569845199585,0.7887102894272789,1,0,Success,1
81,-12.0,24,3.8204052448272705,6.974645137786865,0.7863441585589971,0,1,Collision,1
82,-14.0,7,7.742371082305908,8.99062728881836,0.78398512608332,0,1,Collision,1
83,-15.0,9,4.532569885253906,8.99062728881836,0.7816331707050701,0,1,Collision,1
84,-16.0,16,3.643181085586548,-1.2810815572738647,0.7792882711929549,0,1,Collision,1
85,4.0,40,3.5491695404052734,-3.7002151012420654,0.776950406379376,0,1,Collision,1
86,-15.0,35,1.9363526105880737,6.5701727867126465,0.7746195551602378,0,1,Collision,1
87,-23.0,28,10.307847023010254,4.889917373657227,0.7722956964947572,0,1,Collision,1
88,56.0,34,8.223907470703125,7.74274206161499,0.7699788094052729,1,0,Success,1
89,-9.0,17,30.514739990234375,7.578722953796387,0.767668872977057,0,1,Collision,1
90,77.0,47,6.392848014831543,6.901551723480225,0.7653658663581259,1,0,Success,1
91,-14.0,18,29.185527801513672,-3.3655471801757812,0.7630697687590515,0,1,Collision,1
92,-23.0,36,9.986906051635742,-4.509057521820068,0.7607805594527743,0,1,Collision,1
93,-13.0,18,33.60765075683594,3.381765365600586,0.7584982177744161,0,1,Collision,1
94,-6.0,31,3.0301051139831543,-5.184451103210449,0.7562227231210928,0,1,Collision,1
95,-13.0,12,4.861562728881836,8.72053337097168,0.7539540549517295,0,1,Collision,1
96,64.0,54,2.214463710784912,5.970048427581787,0.7516921927868743,1,0,Success,1
97,-18.0,14,6.0849504470825195,8.406784057617188,0.7494371162085136,0,1,Collision,1
98,-8.0,13,28.674116134643555,8.425375938415527,0.747188804859888,0,1,Collision,1
99,-22.0,37,9.166400909423828,4.423171520233154,0.7449472384453084,0,1,Collision,1
100,-18.0,14,7.2652587890625,7.4878458976745605,0.7427123967299725,0,1,Collision,1
101,-12.0,8,3.8003811836242676,8.87125015258789,0.7404842595397826,0,1,Collision,1
102,-19.0,37,17.18077850341797,-0.9815885424613953,0.7382628067611632,0,1,Collision,1
103,-18.0,25,11.851760864257812,8.09829330444336,0.7360480183408797,0,1,Collision,1
104,-17.0,7,2.17156982421875,9.18848991394043,0.7338398742858571,0,1,Collision,1
105,-14.0,17,10.068532943725586,3.5803356170654297,0.7316383546629995,0,1,Collision,1
106,-16.0,12,12.309250831604004,9.30006217956543,0.7294434395990105,0,1,Collision,1
107,73.0,50,2.260450839996338,9.725854873657227,0.7272551092802134,1,0,Success,1
108,-26.0,34,5.829624652862549,-2.6504111289978027,0.7250733439523728,0,1,Collision,1
109,-13.0,8,7.528537750244141,10.798629760742188,0.7228981239205157,0,1,Collision,1
110,-11.0,26,29.109270095825195,6.9067702293396,0.7207294295487541,0,1,Collision,1
111,-14.0,16,7.2224016189575195,8.374542236328125,0.7185672412601078,0,1,Collision,1
112,-17.0,19,6.584948539733887,5.6865763664245605,0.7164115395363275,0,1,Collision,1
113,-16.0,8,18.461326599121094,13.584840774536133,0.7142623049177186,0,1,Collision,1
114,-7.0,38,4.176782131195068,-2.9904513359069824,0.7121195180029655,0,1,Collision,1
115,-10.0,15,9.791654586791992,8.117877960205078,0.7099831594489566,0,1,Collision,1
116,-15.0,31,30.42941665649414,3.897031784057617,0.7078532099706097,0,1,Collision,1
117,-25.0,27,8.327247619628906,12.00207805633545,0.7057296503406979,0,1,Collision,1
118,64.0,27,8.401908874511719,11.939352989196777,0.7036124613896758,1,0,Success,1
119,-14.0,19,9.55782413482666,5.959545135498047,0.7015016240055068,0,1,Collision,1
120,74.0,47,27.728595733642578,12.6764554977417,0.6993971191334902,1,0,Success,1
121,-31.0,25,8.691811561584473,-3.403867244720459,0.6972989277760897,0,1,Collision,1
122,-29.0,35,2.7472267150878906,9.050884246826172,0.6952070309927615,0,1,Collision,1
123,-15.0,11,5.225369930267334,12.774883270263672,0.6931214098997832,0,1,Collision,1
124,-18.0,24,4.20231294631958,11.557013511657715,0.6910420456700839,0,1,Collision,1
125,-14.0,5,9.275513648986816,11.557013511657715,0.6889689195330736,0,1,Collision,1
126,-15.0,17,19.0089168548584,9.036144256591797,0.6869020127744744,0,1,Collision,1
127,-10.0,18,28.62902069091797,10.634377479553223,0.684841306736151,0,1,Collision,1
128,-8.0,33,4.594549655914307,11.299858093261719,0.6827867828159425,0,1,Collision,1
129,-16.0,24,13.044861793518066,9.09559440612793,0.6807384224674947,0,1,Collision,1
130,-12.0,9,4.08937931060791,13.64602279663086,0.6786962072000923,0,1,Collision,1
131,-12.0,10,33.678001403808594,12.000162124633789,0.676660118578492,0,1,Collision,1
132,64.0,45,17.213226318359375,14.189350128173828,0.6746301382227565,1,0,Success,1
133,66.0,23,14.961868286132812,14.666937828063965,0.6726062478080883,1,0,Success,1
134,-14.0,18,40.30934143066406,10.855669975280762,0.6705884290646641,0,1,Collision,1
135,63.0,43,5.730664253234863,12.874248504638672,0.66857666377747,1,0,Success,1
